Power Run 1,,,,,,
,,,,,,
mass (g),Voltage (V),Current (A),Time (min),Time (s),DT (s),Delta Time
280,5,.16,0:00:00,0.00,0.00,0:00
270,5,0.16,1:33:00,93.00,93.00,1:33:00
260,5,0.16,3:11:00,191.00,96.00,1:36:00
250,5,0.16,4:50:00,290.00,99.00,1:39:00
240,5,0.16,6:29:00,389.00,99.00,1:39:00
230,5,0.16,8:16:00,496.00,106.00,1:46:00
220,5,0.16,10:07:00,607.00,111.00,1:51:00
210,5,0.16,12:02:00,722.00,116.00,1:56:00
200,5,0.16,14:02:00,842.00,120.00,2:00:00
190,5,0.16,16:04:00,964.00,122.00,2:02:00
,,,,,,
Power Run 2,,,,,,
,,,,,,
mass (g),Voltage (V),Current (A),Time (min),Time (s),DT (s),Delta Time
280,10,0.32,0:00:00,0.00,0.00,0:00
270,10,0.32,1:23:00,83.00,83.00,1:23:00
260,10,0.32,2:51:00,171.00,81.00,1:21:00
250,10,0.32,4:24:00,264.00,92.00,1:32:00
240,10,0.32,5:58:00,358.00,93.00,1:33:00
230,10,0.32,7:34:00,454.00,96.00,1:36:00
220,10,0.32,9:12:00,552.00,98.00,1:38:00
210,10,0.32,10:57:00,657.00,104.00,1:44:00
200,10,0.32,12:43:00,763.00,106.00,1:46:00
190,10,0.32,14:32:00,872.00,109.00,1:49:00
,,,,,,
,,,,,,
Power Run 3,,,,,,
,,,,,,
mass (g),Voltage (V),Current (A),Time (min),Time (s),DT (s),Delta Time
300,12,0.38,0:00,0.00,0.00,0:00
290,12,0.38,1:18:00,78.00,78.00,1:18:00
280,12,0.38,2:37:00,157.00,79.00,1:19:00
270,12,0.38,3:58:00,238.00,81.00,1:21:00
260,12,0.38,5:21:00,321.00,82.00,1:22:00
250,12,0.38,6:47:00,407.00,85.00,1:25:00
240,12,0.38,8:18:00,498.00,91.00,1:31:00
230,12,0.38,9:46:00,586.00,89.00,1:29:00
220,12,0.38,11:18:00,678.00,91.00,1:31:00
210,12,0.38,12:52:00,772.00,94.00,1:34:00
,,,,,,
,,,,,,
Power Run 4,,,,,,
,,,,,,
mass (g),Voltage (V),Current (A),Time (min),Time (s),DT (s),Delta Time
280,3,0.1,0:00,0.00,0.00,0:00
270,3,0.1,1:26:00,86.00,86.00,1:26:00
260,3,0.1,2:56:00,176.00,90.00,1:30:00
250,3,0.1,4:34:00,274.00,97.00,1:37:00
240,3,0.1,6:17:00,377.00,104.00,1:44:00
230,3,0.1,8:03:00,483.00,105.00,1:45:00
220,3,0.1,9:54:00,594.00,111.00,1:51:00
210,3,0.1,11:51:00,711.00,117.00,1:57:00
200,3,0.1,13:55:00,835.00,123.00,2:03:00
190,3,0.1,16:04:00,964.00,129.00,2:09:00
,,,,,,
,,,,,,
Power Run 5,,,,,,
,,,,,,
mass (g),Voltage (V),Current (A),Time (min),Time (s),DT (s),Delta Time
280,6,0.19,0:00,0.00,0.00,0:00
270,6,0.19,1:36:00,96.00,96.00,1:36:00
260,6,0.19,3:12:00,192.00,96.00,1:36:00
250,6,0.19,4:53:00,293.00,101.00,1:41:00
240,6,0.19,6:36:00,396.00,103.00,1:43:00
230,6,0.19,8:28:00,508.00,109.00,1:49:00
220,6,0.19,10:20:00,620.00,112.00,1:52:00
210,6,0.19,12:18:00,738.00,118.00,1:58:00
200,6,0.19,14:19:00,859.00,121.00,2:01:00
190,6,0.19,16:25:00,985.00,125.00,2:05:00
,,,,,,
,,,,,,
Power Run 6,,,,,,
,,,,,,
mass (g),Voltage (V),Current (A),Time (min),Time (s),DT (s),Delta Time
280,8,0.25,0:00,0.00,0.00,0:00
270,8,0.25,1:34:00,94.00,94.00,1:34:00
260,8,0.25,3:09:00,189.00,96.00,1:36:00
250,8,0.25,4:43:00,283.00,94.00,1:34:00
240,8,0.25,6:27:00,387.00,104.00,1:44:00
230,8,0.25,8:14:00,494.00,107.00,1:47:00
220,8,0.25,10:05:00,605.00,110.00,1:50:00
210,8,0.25,11:56:00,716.00,111.00,1:51:00
200,8,0.25,13:52:00,832.00,115.00,1:55:00
190,8,0.25,15:54:00,954.00,121.00,2:01:00
